,Name,Code,Sector
0,삼성전자,005930,Technology
1,LG에너지솔루션,373220,Industrials
2,SK하이닉스,000660,Technology
3,삼성바이오로직스,207940,Healthcare
4,LG화학,051910,Basic Materials
5,삼성SDI,006400,Technology
6,삼성전자우,005935,Technology
7,현대차,005380,Consumer Cyclical
8,기아,000270,Consumer Cyclical
9,NAVER,035420,Communication Services
10,POSCO홀딩스,005490,Basic Materials
11,포스코퓨처엠,003670,Basic Materials
12,카카오,035720,Communication Services
13,셀트리온,068270,Healthcare
14,현대모비스,012330,Consumer Cyclical
15,LG전자,066570,Technology
16,삼성물산,028260,Industrials
17,KB금융,105560,Financial Services
18,SK이노베이션,096770,Energy
19,신한지주,055550,Financial Services
20,LG,003550,Technology
21,삼성생명,032830,Financial Services
22,카카오뱅크,323410,Financial Services
23,한국전력,015760,Utilities
24,SK,034730,Technology
25,하나금융지주,086790,Financial Services
26,KT&G,033780,Consumer Defensive
27,삼성전기,009150,Technology
28,HD현대중공업,329180,Industrials
29,하이브,352820,Communication Services
30,삼성화재,000810,Financial Services
31,두산에너빌리티,034020,Industrials
32,SK텔레콤,017670,Communication Services
33,삼성에스디에스,018260,Technology
34,고려아연,010130,Basic Materials
35,메리츠금융지주,138040,Financial Services
36,크래프톤,259960,Communication Services
37,우리금융지주,316140,Financial Services
38,HMM,011200,Industrials
39,LG생활건강,051900,Consumer Defensive
40,S-Oil,010950,Energy
41,한화솔루션,009830,Basic Materials
42,기업은행,024110,Financial Services
43,대한항공,003490,Industrials
44,KT,030200,Communication Services
45,카카오페이,377300,Technology
46,롯데케미칼,011170,Basic Materials
47,HD한국조선해양,009540,Industrials
48,LG이노텍,011070,Technology
49,SK아이이테크놀로지,361610,Technology
50,엔씨소프트,036570,Communication Services
51,현대글로비스,086280,Industrials
52,SK스퀘어,402340,Technology
53,SK바이오사이언스,302440,Healthcare
54,아모레퍼시픽,090430,Consumer Defensive
55,두산밥캣,241560,Industrials
56,LG디스플레이,034220,Technology
57,SK바이오팜,326030,Healthcare
58,포스코인터내셔널,047050,Industrials
59,삼성엔지니어링,028050,Industrials
60,삼성중공업,010140,Industrials
61,DB손해보험,005830,Financial Services
62,한화에어로스페이스,012450,Industrials
